relevant,entities,id,A,B,C,text,clean
1,O PRO PRO O O O O O VUL VUL VUL O O,841982556669149185,1,1,0,#0daytoday #Apache Struts Jakarta Multipart Parser OGNL Injection Exploit [remote #exploits  #0day #Exploit] https://t.co/IdsVts5viv,0daytoday apache struts jakarta multipart parser ognl injection exploit remote exploits 0day exploit
1,O PRO PRO VER O O O O O O,839728215690207232,1,1,0,"Critical Apache Struts 2 Vulnerability (Patch Now!), (Thu, Mar 9th) https://t.co/XB5rlMhZXb",critical apache struts 2 vulnerability patch now thu mar 9th
1,O PRO PRO O O O O O VUL VUL VUL O O,841981717313290240,1,1,0,#0daytoday #Apache Struts Jakarta Multipart Parser OGNL Injection Exploit [remote #exploits #0day #Exploit] https://t.co/BlX1MH2ttS,0daytoday apache struts jakarta multipart parser ognl injection exploit remote exploits 0day exploit
1,ID ORG PRO O VER VER VER O O O O O VUL VUL O,841848955663196160,0,0,1,CVE-2017-2983 Adobe Shockwave versions 12.2.7.197 and earlier have an insecure library loading (DLL hijacking) vul… https://t.co/u2mUdTe1XP,cve-2017-2983 adobe shockwave versions 12.2.7.197 and earlier have an insecure library loading dll hijacking vul
-1,,839821640326340608,1,1,0,"threatmeter: NA - CVE-2017-6578 - A SQL injection issue is exploitable, with... https://t.co/BmTfGi6tAR",threatmeter na cve-2017-6578 a sql injection issue is exploitable with
1,PRO O O O O VER O O O O,836330856759365632,0,0,1,Chrome backs out of TLS 1.3 support after proxy issues https://t.co/vtoRqmlXHC,chrome backs out of tls 1.3 support after proxy issues
1,O ID O O O PRO O O ID,841816857690681346,0,0,1,NA - MS17-020 - Security Update for Windows DVD Maker (3208223) https://t.co/f9Y7hOLqZA,na ms17-020 security update for windows dvd maker 3208223
-1,,839592932059541517,0,0,1,@HosznyakRachael Glad our Windows Spotlight images could make your day! Have you seen any other images that catch your eye?,hosznyakrachael glad our windows spotlight images could make your day have you seen any other images that catch your eye
1,O VUL PRO VER O O O VUL O O,840573137863487488,0,0,1,threatmeter: [shellcode] - Windows x86 - Hide Console Window Shellcode (182 bytes) https://t.co/eOQhnBED7D,threatmeter shellcode windows x86 hide console window shellcode 182 bytes
1,ID O O O PRO O ID,842115087087345665,0,0,1,MS17-021: Security Update for Windows DirectShow (4010318) https://t.co/Mq958Z7QgO,ms17-021 security update for windows directshow 4010318
1,ORG PRO O VUL VUL O O O VUL VUL VUL VUL O O O,841753643623845892,0,0,1,Microsoft Windows Uniscribe Multiple Bugs Let Remote Users Obtain Potentially Sensitive Information and Execute Ar… https://t.co/JHRVtuOofZ,microsoft windows uniscribe multiple bugs let remote users obtain potentially sensitive information and execute ar
1,ID VUL VUL VUL O O O O ORG O ORG PRO PRO O VER,841848950701342720,1,1,1,CVE-2016-8027 SQL injection vulnerability in core services in Intel Security McAfee ePolicy Orchestrator (ePO) 5.3… https://t.co/bWJOF3qCTb,cve-2016-8027 sql injection vulnerability in core services in intel security mcafee epolicy orchestrator epo 5.3
1,ORG O O O VUL VUL VUL O O O O VUL VUL O,836518871163088896,0,0,1,SAP BusinessObjects Financial Consolidation Input Validation Flaw Lets Remote Users Conduct Cross-Site Scripting A… https://t.co/wosTD230Xz,sap businessobjects financial consolidation input validation flaw lets remote users conduct cross-site scripting a
-1,,839892723339517957,1,1,0,Audiojungle Clone SQL Injection https://t.co/8G5bppLc4d,audiojungle clone sql injection
-1,,840870203437260800,0,0,1,"threatmeter: NA - CVE-2017-6819 - In WordPress before 4.7.3, there is cross-site... https://t.co/YxENl3Ce5i",threatmeter na cve-2017-6819 in wordpress before 4.7.3 there is cross-site
-1,,836900428566642688,0,0,1,9 Popular Password Manager Apps Found Leaking Your Secrets https://t.co/jKvrEUzYPV,9 popular password manager apps found leaking your secrets
-1,,842127554207178761,0,0,1,Vuln: WordPress Wp2android Plugin CVE-2017-1002003 Arbitrary File Upload Vulnerability: WordPress… https://t.co/m4U4J8AJE2 #infosec,vuln wordpress wp2android plugin cve-2017-1002003 arbitrary file upload vulnerability wordpress infosec
1,ID ORG PRO PRO O VER VER VER O O O VUL VUL VUL,841848963036782592,0,0,1,CVE-2017-2999 Adobe Flash Player versions 24.0.0.221 and earlier have an exploitable memory corruption vulnerabili… https://t.co/jKps5aE3Sj,cve-2017-2999 adobe flash player versions 24.0.0.221 and earlier have an exploitable memory corruption vulnerabili
1,O ID ORG PRO PRO O VER VER VER O O O O O O O,841852285089120257,0,0,1,threatmeter: CVE-2017-3001 Adobe Flash Player versions 24.0.0.221 and earlier have an exploitable use after free v… https://t.co/0hD3y0F2Qj,threatmeter cve-2017-3001 adobe flash player versions 24.0.0.221 and earlier have an exploitable use after free v
-1,,839843076965351424,1,1,0,threatmeter: [webapps] - Media Search Engine Script - 'search' Parameter SQL Injection https://t.co/amT5nnwQCc,threatmeter webapps media search engine script search parameter sql injection
1,O O ORG PRO O O VUL VUL O O O,839264170985959425,0,0,1,#0daytoday #Bull / IBM AIX Clusterwatch/Watchware - Multiple Vulnerabilities [webapps #exploits #Vulnerabilities… https://t.co/Zl0vZtmXFJ,0daytoday bull ibm aix clusterwatch watchware multiple vulnerabilities webapps exploits vulnerabilities
-1,,841370122753314817,0,0,1,@TheModdersDen That's fantastic! We can't wait to see what you create with Windows 10.,themoddersden that s fantastic we can t wait to see what you create with windows 10.
1,ID ORG PRO PRO O VER O O O O O O O O O O,841848964458647552,0,0,1,CVE-2017-3000 Adobe Flash Player versions 24.0.0.221 and earlier have a vulnerability in the random number generat… https://t.co/9SjnsNWApF,cve-2017-3000 adobe flash player versions 24.0.0.221 and earlier have a vulnerability in the random number generat
1,O PRO PRO VUL VUL VUL O O,841295939000233985,1,1,0,Vigilnce - Linux kernel: use after free via complete_emulated_mmio https://t.co/HT6QnfCTl2,vigilnce linux kernel use after free via complete emulated mmio
1,ORG O O O O O O ORG PRO O O O,836919342897967104,1,0,0,Googles Project Zero outs severe vulnerability in Microsofts Edge browser (https://t.co/B9IASbhCnj(Dave Neal)/Compu… https://t.co/QjW9ka7N6Q,googles project zero outs severe vulnerability in microsofts edge browser neal compu
